draw_no,draw_date,main,supp,powerball,source
487,2005-09-15,9 32 38 40 41,,24,archive
488,2005-09-22,26 36 38 40 45,,24,archive
489,2005-09-29,7 10 13 28 31,,15,archive
490,2005-10-06,4 11 29 32 41,,1,archive
491,2005-10-13,15 19 26 33 37,,12,archive
492,2005-10-20,1 2 26 30 40,,21,archive
493,2005-10-27,13 22 27 38 42,,39,archive
494,2005-11-03,2 4 15 25 40,,29,archive
495,2005-11-10,11 12 25 38 42,,39,archive
496,2005-11-17,3 7 9 18 36,,7,archive
497,2005-11-24,3 8 25 39 41,,13,archive
498,2005-12-01,1 2 5 10 17,,34,archive
499,2005-12-08,5 7 11 34 39,,9,archive
500,2005-12-15,9 10 12 34 45,,34,archive
501,2005-12-22,2 10 31 35 36,,15,archive
502,2005-12-29,1 3 30 36 40,,20,archive
503,2006-01-05,6 13 15 39 41,,17,archive
504,2006-01-12,15 31 37 42 44,,23,archive
505,2006-01-19,23 29 30 35 43,,35,archive
506,2006-01-26,2 21 36 40 42,,2,archive
507,2006-02-02,1 4 6 13 36,,34,archive
508,2006-02-09,11 21 33 38 41,,22,archive
509,2006-02-16,10 18 22 28 31,,17,archive
510,2006-02-23,2 9 22 25 42,,40,archive
511,2006-03-02,8 36 40 42 43,,16,archive
512,2006-03-09,9 19 32 34 39,,42,archive
513,2006-03-16,4 8 13 40 44,,17,archive
514,2006-03-23,2 12 13 24 34,,13,archive
515,2006-03-30,17 24 32 33 41,,17,archive
516,2006-04-06,1 2 13 38 45,,4,archive
517,2006-04-13,2 12 30 32 39,,8,archive
518,2006-04-20,5 7 11 21 26,,14,archive
519,2006-04-27,27 35 37 39 42,,41,archive
520,2006-05-04,1 12 16 27 30,,24,archive
521,2006-05-11,1 10 11 18 31,,45,archive
522,2006-05-18,6 12 13 15 45,,32,archive
523,2006-05-25,16 27 33 40 43,,33,archive
524,2006-06-01,13 21 29 37 41,,39,archive
525,2006-06-08,5 6 23 29 45,,25,archive
526,2006-06-15,21 23 30 40 42,,2,archive
527,2006-06-22,1 21 23 34 36,,7,archive
528,2006-06-29,29 31 33 36 38,,10,archive
529,2006-07-06,1 8 15 16 22,,34,archive
530,2006-07-13,14 16 21 22 36,,1,archive
531,2006-07-20,1 2 3 21 38,,4,archive
532,2006-07-27,8 11 12 15 27,,14,archive
533,2006-08-03,20 24 27 30 35,,4,archive
534,2006-08-10,5 9 21 37 43,,3,archive
535,2006-08-17,9 10 18 28 31,,15,archive
536,2006-08-24,10 24 30 31 38,,11,archive
537,2006-08-31,5 11 26 34 44,,9,archive
538,2006-09-07,6 10 24 34 45,,36,archive
539,2006-09-14,4 5 16 24 28,,36,archive
540,2006-09-21,6 23 34 36 42,,11,archive
541,2006-09-28,11 23 29 40 43,,24,archive
542,2006-10-05,1 13 20 39 44,,23,archive
543,2006-10-12,18 32 37 39 44,,45,archive
544,2006-10-19,4 5 7 12 23,,29,archive
545,2006-10-26,10 12 22 29 31,,32,archive
546,2006-11-02,1 31 38 39 45,,32,archive
547,2006-11-09,23 29 40 42 44,,31,archive
548,2006-11-16,4 19 20 43 44,,28,archive
549,2006-11-23,5 8 11 24 31,,27,archive
550,2006-11-30,3 10 21 34 44,,44,archive
551,2006-12-07,5 7 15 19 25,,30,archive
552,2006-12-14,4 18 27 28 30,,34,archive
553,2006-12-21,14 28 30 34 37,,15,archive
554,2006-12-28,13 16 30 33 41,,44,archive
